epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9155,1.09492,3.23424,1.50575,0.00675,0.97093,0.08065,0.04556,0.76133,3.86675,1.4427,7.5e-05,7.5e-05,7.5e-05
2,134.518,0.90969,2.86579,1.3493,0.00879,0.95321,0.13946,0.08785,0.81828,3.85536,1.50037,0.000159282,0.000159282,0.000159282
3,196.171,0.93131,2.24858,1.34054,0.00963,0.94158,0.21918,0.15723,1.00222,3.78637,1.49626,0.0002401,0.0002401,0.0002401
4,258.243,0.93342,1.9312,1.33703,0.01126,0.95349,0.18775,0.13324,1.02063,3.56721,1.50455,0.000317452,0.000317452,0.000317452
5,319.697,0.88218,1.7369,1.34416,0.17102,0.3291,0.17513,0.11976,1.22059,3.73996,1.65597,0.00039134,0.00039134,0.00039134
6,382.057,0.91589,1.58036,1.33956,0.37263,0.15,0.25595,0.15589,1.2396,3.42614,1.62957,0.000461763,0.000461763,0.000461763
7,444.353,0.92179,1.43115,1.31982,0.16018,0.1125,0.17377,0.09076,1.0559,3.61695,1.59019,0.00052872,0.00052872,0.00052872
8,508.581,0.89698,1.37686,1.32184,0.14692,0.15114,0.15491,0.087,1.01978,3.7467,1.54595,0.000592213,0.000592213,0.000592213
9,571.683,0.923,1.37398,1.354,0.09713,0.13081,0.12093,0.05887,1.18072,3.62503,1.70827,0.00065224,0.00065224,0.00065224
10,633.415,0.89878,1.33194,1.30748,0.18672,0.09913,0.1546,0.08099,1.25477,3.73679,1.67079,0.000708803,0.000708803,0.000708803
11,695.36,0.91513,1.24561,1.34277,0.17926,0.06857,0.12162,0.06622,1.47904,4.088,1.79979,0.0007619,0.0007619,0.0007619
12,759.053,0.88463,1.28677,1.33088,0.14662,0.14272,0.1706,0.09867,1.23573,3.88606,1.78015,0.000811533,0.000811533,0.000811533
13,820.956,0.94458,1.25522,1.38093,0.18422,0.13081,0.16187,0.10015,1.35379,3.80789,1.81209,0.0008577,0.0008577,0.0008577
14,883.255,0.93518,1.32205,1.35418,0.26044,0.12564,0.20232,0.09255,1.91809,3.6902,2.06965,0.000900402,0.000900402,0.000900402
15,944.621,0.88842,1.18998,1.27432,0.40735,0.1375,0.16443,0.07773,1.90882,3.87272,2.01363,0.0009035,0.0009035,0.0009035
16,1008.41,0.87634,1.20287,1.29429,0.10143,0.13657,0.11412,0.05309,1.73906,4.22559,1.91933,0.00087875,0.00087875,0.00087875
17,1070.4,0.90523,1.25473,1.35114,0.43297,0.0875,0.13493,0.06842,2.05801,3.83343,2.32723,0.000854,0.000854,0.000854
18,1132.86,0.90259,1.16985,1.28147,0.10774,0.16593,0.12806,0.05994,2.39671,3.9665,3.16593,0.00082925,0.00082925,0.00082925
19,1194.68,0.89705,1.15064,1.27222,0.19621,0.17115,0.14254,0.0847,1.75807,4.31145,2.00817,0.0008045,0.0008045,0.0008045
20,1259.99,0.88486,1.05625,1.27148,0.44584,0.16076,0.16746,0.06804,2.09965,3.72225,2.45072,0.00077975,0.00077975,0.00077975
21,1321.19,0.86029,1.03675,1.30091,0.37008,0.19738,0.14317,0.07169,2.12199,3.76492,2.56816,0.000755,0.000755,0.000755
22,1382.93,0.86288,1.06675,1.25981,0.42601,0.175,0.20638,0.13203,2.08719,3.22542,2.54154,0.00073025,0.00073025,0.00073025
23,1443.53,0.83508,1.02352,1.2775,0.19655,0.18399,0.21809,0.13411,1.45843,3.45299,1.84803,0.0007055,0.0007055,0.0007055
24,1504.98,0.80385,0.98396,1.23891,0.22759,0.17113,0.23437,0.13347,1.52834,3.32802,1.92023,0.00068075,0.00068075,0.00068075
25,1569.86,0.82443,1.00751,1.23334,0.22847,0.17031,0.22007,0.11098,1.59697,3.43334,1.98273,0.000656,0.000656,0.000656
26,1631.66,0.86307,0.97817,1.23452,0.19767,0.18281,0.21143,0.11723,1.25554,3.25632,1.74978,0.00063125,0.00063125,0.00063125
27,1693.96,0.77706,0.95057,1.21415,0.2075,0.1875,0.21822,0.12422,1.12029,3.18308,1.6826,0.0006065,0.0006065,0.0006065
28,1756.48,0.80192,0.95812,1.24404,0.23362,0.17849,0.22282,0.12594,1.22889,3.28326,1.69924,0.00058175,0.00058175,0.00058175
29,1817.2,0.76937,0.93286,1.17187,0.18011,0.26324,0.22959,0.14165,1.26765,3.27172,1.66871,0.000557,0.000557,0.000557
30,1877.08,0.75837,0.86429,1.1863,0.22339,0.26975,0.25426,0.15332,1.60571,3.718,1.77065,0.00053225,0.00053225,0.00053225
31,1940.26,0.73057,0.89311,1.17995,0.24096,0.23943,0.24318,0.13924,1.8948,4.42033,2.13507,0.0005075,0.0005075,0.0005075
32,2002.14,0.71877,0.86218,1.17805,0.19235,0.22753,0.2333,0.13243,2.08809,4.4008,2.3062,0.00048275,0.00048275,0.00048275
33,2063.13,0.75928,0.87995,1.17022,0.20484,0.23334,0.24283,0.13928,2.07702,4.47955,2.25688,0.000458,0.000458,0.000458
34,2124.29,0.694,0.80642,1.13062,0.22516,0.24584,0.25434,0.15506,1.67995,3.46697,1.78426,0.00043325,0.00043325,0.00043325
35,2188.08,0.72603,0.80936,1.16228,0.23564,0.22549,0.25503,0.1597,1.04343,3.29981,1.53075,0.0004085,0.0004085,0.0004085
36,2249.15,0.73517,0.83579,1.18512,0.20362,0.24496,0.24692,0.15669,0.99567,3.41968,1.47811,0.00038375,0.00038375,0.00038375
37,2309.24,0.7404,0.81679,1.20955,0.25328,0.18281,0.24185,0.14579,1.00331,3.51492,1.4633,0.000359,0.000359,0.000359
38,2369.91,0.72944,0.80266,1.14494,0.24025,0.18785,0.23978,0.14425,0.99234,3.52627,1.45532,0.00033425,0.00033425,0.00033425
39,2431.91,0.75486,0.83762,1.18166,0.23091,0.19531,0.23442,0.14593,0.9281,3.45306,1.44072,0.0003095,0.0003095,0.0003095
40,2496.04,0.75022,0.84433,1.19775,0.25497,0.20358,0.23921,0.15708,0.91551,3.44449,1.43394,0.00028475,0.00028475,0.00028475
41,2563.66,0.63321,0.92975,1.17757,0.25564,0.21615,0.23818,0.16173,0.8913,3.4447,1.40898,0.00026,0.00026,0.00026
42,2624.51,0.57977,0.8817,1.12762,0.25,0.20674,0.23147,0.16946,0.87744,3.56054,1.38861,0.00023525,0.00023525,0.00023525
43,2684.09,0.59702,0.87763,1.10524,0.22267,0.175,0.21917,0.15514,0.92841,3.7339,1.42947,0.0002105,0.0002105,0.0002105
44,2743.16,0.57032,0.87487,1.10829,0.23665,0.19272,0.21344,0.15164,0.92747,3.87578,1.4564,0.00018575,0.00018575,0.00018575
45,2802.06,0.59959,0.95778,1.15259,0.23549,0.19272,0.21412,0.15351,0.90199,3.92023,1.45501,0.000161,0.000161,0.000161
46,2865.49,0.54354,0.86244,1.09571,0.21326,0.1985,0.22168,0.15683,0.88261,3.87431,1.43959,0.00013625,0.00013625,0.00013625
47,2928.67,0.53144,0.81778,1.06503,0.21056,0.21323,0.2249,0.16316,0.85801,3.83131,1.40994,0.0001115,0.0001115,0.0001115
48,2988.61,0.52178,0.8022,1.07003,0.22851,0.20192,0.22667,0.16803,0.86417,3.74667,1.40819,8.675e-05,8.675e-05,8.675e-05
49,3048.37,0.53339,0.80333,1.03616,0.23113,0.2,0.2282,0.16907,0.85933,3.72767,1.40916,6.2e-05,6.2e-05,6.2e-05
50,3109.59,0.50714,0.82188,1.0531,0.24719,0.2,0.2313,0.17056,0.87975,3.67721,1.4196,3.725e-05,3.725e-05,3.725e-05
